"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"ABANCAY",19.1960166900706,110520,50.380926529135,25.4119388080481,0.489422728917843,0.510577271082157,0.3120513568719,0.6879486431281,0.189290925007295,0.810709074992705,"0301","APURIMAC"
"ACOBAMBA",22.6733009444651,38208,79.7476968174204,23.9809107974199,0.477543969849246,0.522456030150754,0.74515852613539,0.25484147386461,0.0268209083119109,0.973179091688089,"0902","HUANCAVELICA"
"ACOMAYO",21.9109988944449,22940,84.5117698343505,28.2628104387202,0.488884045335658,0.511115954664342,0.579035639412998,0.420964360587002,0.00908455625436757,0.990915443745632,"0802","CUSCO"
"AIJA",8.2742083206864,6316,41.5611146295124,25.4577835855514,0.513299556681444,0.486700443318556,1,0,0.0314214463840399,0.96857855361596,"0202","ANCASH"
"ALTO AMAZONAS",13.4576763572924,122725,11.3758402933388,35.5239148287402,0.502913016907721,0.497086983092279,0.305491399220931,0.694508600779069,0.0815264228342928,0.918473577165707,"1602","LORETO"
"AMBO",19.024006653885,50880,26.2244496855346,30.0270644319865,0.49064465408805,0.50935534591195,0.661442217139782,0.338557782860218,0.0550248890084757,0.944975110991524,"1002","HUANUCO"
"ANDAHUAYLAS",23.485696852124,142477,71.4108242032047,21.2866523511014,0.483242909381865,0.516757090618135,0.537711236984981,0.462288763015019,0.0922274190894775,0.907772580910522,"0302","APURIMAC"
"ANGARAES",21.2676152355104,49207,72.7172963196293,28.8151166751525,0.485987765968257,0.514012234031743,0.779116184606765,0.220883815393235,0.0340359969185517,0.965964003081448,"0903","HUANCAVELICA"
"ANTA",15.3246456018968,56206,65.0055154253994,25.7484750612024,0.493025655623955,0.506974344376045,0.713014925373134,0.286985074626866,0.0568358208955224,0.943164179104478,"0803","CUSCO"
"ANTABAMBA",16.6612864882871,11310,76.5694076038904,32.4216018333967,0.516091954022988,0.483908045977011,1,0,0.00392156862745098,0.996078431372549,"0303","APURIMAC"
"ANTONIO RAYMONDI",16.7427409813192,13650,76.5421245421245,30.938772749921,0.492454212454212,0.507545787545787,1,0,0.00763941940412529,0.992360580595875,"0203","ANCASH"
"AREQUIPA",4.18620800816331,1080635,17.1013339379161,19.5532490759812,0.482525552105938,0.517474447894062,0.0207377349279961,0.979262265072004,0.387258969978033,0.612741030021967,"0401","AREQUIPA"
"ASCOPE",4.57925488884281,115786,0.606290916000207,12.7126585252599,0.49241704523863,0.50758295476137,0.111552528692143,0.888447471307857,0.265922562744356,0.734077437255644,"1302","LA LIBERTAD"
"ATALAYA",18.919497881402,49324,50.6001135349931,32.6752597678,0.512488849241748,0.487511150758252,0.566022413513075,0.433977586486925,0.0326457690433653,0.967354230956635,"2502","UCAYALI"
"AYABACA",16.3275496469211,119287,0.904541148658278,34.0657894948365,0.505570598640254,0.494429401359746,0.86904081762204,0.13095918237796,0.0141560337713451,0.985843966228655,"2002","PIURA"
"AYMARAES",19.8630321205692,24307,71.1235446579175,26.8878416897858,0.50154276545851,0.49845723454149,0.856718124642653,0.143281875357347,0.028587764436821,0.971412235563179,"0304","APURIMAC"
"AZANGARO",16.4365070329013,110392,81.9588375969273,25.1817029826229,0.479654322777013,0.520345677222987,0.730022141706924,0.269977858293076,0.0170340177133655,0.982965982286634,"2102","PUNO"
"BAGUA",11.9621602662929,74100,29.6221322537112,33.4939646414065,0.501997300944669,0.498002699055331,0.469131581518023,0.530868418481977,0.0465956823288073,0.953404317671193,"0102","AMAZONAS"
"BARRANCA",5.35326137689263,144381,10.4480506437828,18.9025327437933,0.49335438873536,0.50664561126464,0.0943386897404203,0.90566131025958,0.272138442521632,0.727861557478368,"1502","LIMA"
"BELLAVISTA",8.85654674122493,55033,1.04119346573874,43.7746676182045,0.518779641306125,0.481220358693875,0.376989723957284,0.623010276042716,0.0907381288199342,0.909261871180066,"2202","SAN MARTIN"
"BOLIVAR",11.1063874203961,14457,2.04053399737152,23.2226052205912,0.508542574531369,0.491457425468631,1,0,0.0150915388421573,0.984908461157843,"1303","LA LIBERTAD"
